id,firstname,lastname,email,mobile no.,street address,postal code,city
105757,Gunnar,Sørensen,gunnar_s@gmail.com,91235555,Bromstadveien 10,7047,Trondheim
120468,Heidi,Hansen,heidi.h@gmail.com,92341234,Stavangerveien 10,4014,Stavanger
122324,Øyvind,Engebretsen,oyvind_e@gmail.com,44565555,Frodegata 5,7067,Trondheim
124709,Grethe,Larsen,grethe.l@protonmail.com,46782233,Hjalmar Brantings vei 10,5143,Fyllingsdalen
124785,Gunnar,Eriksen,gunnar.e@live.no,91230000,Fosswinckels gate 5,5007,Bergen
124969,Ingeborg,Svendsen,ingeborg.s@online.no,40121212,Storgata 15,4307,Sandnes
125126,Odd,Bakken,odd.bakken@protonmail.com,90123456,Parkveien 53,256,Oslo
128228,Kristina,Pettersen,kristina.p@gmail.com,42340000,Nordahl Bruns gate 1,5014,Bergen
129349,Kjell,Svendsen,kjell.s@live.no,45671234,Industrigata 40,357,Oslo
129973,Solfrid,Knudsen,solfrid.k@online.no,97655656,Ålgårdshaugen 1,4330,Ålgård
130104,Jan,Moen,jan.moen.pro@gmail.com,94321098,Bygdøylund 5,286,Oslo
136945,Vigdis,Johansen,vigdis_j@online.no,95439999,Brandasundvegen 10,5440,Mosterhamn
137088,Kari,Rasmussen,kari_r@gmail.com,91239988,Michael Krohns gate 20,5057,Bergen
141942,Hege,Sætre,hege_s@gmail.com,97659999,Kulleseidvegen 10,5437,Finnås
141963,Marit,Kristiansen,m.kristiansen@altibox.no,47654321,Kirkeveien 50,368,Oslo
146742,Magnus,Strand,magnus_s@getmail.no,98765555,Sirkus Shopping 1,7044,Trondheim
155435,Else,Nygård,else_n@protonmail.com,95431212,Strandgata 10,4307,Sandnes
156083,Bjørg,Engebretsen,bjorg.e@online.no,98765656,Hoveveien 1,4306,Sandnes
156462,Ole,Iversen,ole_i@online.no,40123322,Strandgaten 10,5013,Bergen
157509,Trine,Knudsen,trine.k@gmail.com,91234455,Hopsvatnet 5,5232,Paradis
159990,Øyvind,Bakken,oyvind_b@online.no,44567777,Skaalavegen 10,5470,Rosendal
167297,Arne,Lunde,arne.lunde@altibox.no,46780000,Sydnesplassen 1,5007,Bergen
170589,Stian,Johnsen,stian_j@altibox.no,44567766,Nobels gate 12,268,Oslo
173495,Magnus,Jensen,magnus.j@altibox.no,98760000,Øvre Sandviksveien 1,5035,Bergen
174580,Astrid,Amundsen,astrid.a@altibox.no,94323333,Sævegen 10,5412,Stord
176117,Heidi,Sande,heidi.s@altibox.no,92348888,Sandbrekkevegen 1,5225,Nesttun
178229,Bodil,Eide,bodil.e@online.no,94324455,Ulsmågvegen 10,5224,Nesttun
183024,Tore,Mikkelsen,tore_m@outlook.no,43215656,Ole Nielsen vei 5,4330,Ålgård
183563,Tore,Birkeland,tore_b@online.no,43219988,Løbergsveien 5,5055,Bergen
188174,Gunnar,Lunde,gunnar_l@outlook.com,91237777,Nordtveitvegen 5,5647,Baldersheim
193979,Bjørg,Birkeland,bjorg.b@gmail.com,98763333,Sæbøvegen 1,5458,Halsnøy-Kloster
196012,Øyvind,Haugen,oyvind.h@gmail.com,44560000,Professor Hansteens gate 1,5006,Bergen
196881,Kari,Sæther,kari.s@online.no,91233333,Borggata 10,5417,Stord
209120,Monica,Holm,m.holm92@getmail.no,94324433,Professor Dahls gate 30,353,Oslo
210327,Beate,Hansen,beate.h@online.no,93454455,Kloppedalsvegen 5,5232,Paradis
211739,Else,Amundsen,else.a@live.no,95435555,Sorgenfriveien 1,7031,Trondheim
212574,Anne,Vold,anne.v@icloud.com,90123434,Gandveien 1,4322,Sandnes
213753,Håkon,Berg,haakon.b@online.no,90125555,Bontveitvegen 1,5229,Kalandseidet
215646,Ragnhild,Myhre,ragnhild.m@protonmail.com,45675555,Falkenborgvegen 1,7044,Trondheim
225832,Vigdis,Holm,vigdis.h@gmail.com,95434455,Elvenesvegen 5,5225,Nesttun
232551,Ellen,Johnsen,ellen_j@live.no,92346666,Børtveitvegen 1,5415,Stord
232892,Kjellfrid,Hansen,kjellfrid.h@online.no,42342222,Mildevegen 5,5259,Hjellestad
233230,Alf,Amundsen,alf_a@outlook.com,45675656,Austråttveien 5,4306,Sandnes
237254,Ingunn,Andersen,ingunn.a@altibox.no,90121234,Kirkegata 1,4006,Stavanger
241819,Grete,Eide,grete.e@gmail.com,97654433,Jacob Aalls gate 1,364,Oslo
245486,Atle,Birkeland,atle_b@online.no,93455555,Leangen allé 5,7044,Trondheim
250527,Terje,Hansen,terje.h82@icloud.com,44568899,Møllendalsveien 10,5009,Bergen
257695,Ove,Lund,ove_l@online.no,45673333,Fossegrenda 5,7038,Trondheim
262162,Tom,Andersen,tom.a@getmail.no,42347766,Frognerveien 25,263,Oslo
262577,Eirik,Moe,eirik_m@online.no,45671111,Innherredsveien 1,7014,Trondheim
269829,Terje,Nilsen,terje_n@live.no,44561111,Elgeseter gate 1,7030,Trondheim
270934,Mona,Bakke,mona_b@live.no,95439988,Ulriksdal 10,5009,Bergen
271330,Jarle,Eriksen,jarle_e@outlook.no,97654567,Hillevågsveien 15,4016,Stavanger
272290,Solfrid,Myhre,solfrid.m@altibox.no,97659988,Damsgårdsveien 10,5058,Bergen
274051,Merete,Lund,merete_l@outlook.no,49015555,Samnøyvegen 5,5641,Fusa
276188,Eirik,Sætre,eirik_s@icloud.com,91232233,Grimseidvegen 50,5239,Rådal
278860,Sigrid,Olsen,sigrid.o@protonmail.com,93452222,Hjellestadvegen 10,5259,Hjellestad
279654,Odd,Vold,odd_v@outlook.no,40123333,Nattrutekaien 1,5411,Stord
282022,Gunnar,Evensen,gunnar_e@altibox.no,91231212,Langegata 10,4306,Sandnes
283645,Nina,Pettersen,nina.p@online.no,40124567,Lagårdsveien 1,4010,Stavanger
283917,Trine,Wang,trine_w@online.no,91239999,Melandsvegen 1,5430,Bremnes
287425,Synnøve,Berg,synnove.b@gmail.com,43214567,Marieroalléen 1,4017,Stavanger
293575,Turid,Lunde,turid.l@live.no,41237890,Bedriftsveien 5,4313,Sandnes
297529,Ragnhild,Solberg,ragnhild.s@outlook.no,45671212,Roald Amundsens vei 1,4307,Sandnes
298183,Solveig,Nygård,solveig.n@icloud.com,97651234,Middelthuns gate 17,368,Oslo
299750,May,Isaksen,may_i@live.no,98762222,Espehaugen 10,5258,Blomsterdalen
305923,Ivar,Nygård,ivar_n@altibox.no,49015544,Kaigaten 5,5016,Bergen
307513,Sigrid,Dahl,sigrid.d@outlook.com,93453333,Osloveien 1,7017,Trondheim
312387,Torstein,Johansen,torstein_j@gmail.com,94322233,Bjørgeveien 10,5141,Fyllingsdalen
313450,Ingrid,Andreassen,ingrid.a@protonmail.com,92346666,Kobbes gate 1,7042,Trondheim
314365,Marit,Halvorsen,m.halvorsen@gmail.com,92349900,Inkognitogata 14,258,Oslo
318283,Atle,Bakken,atle_b@gmail.com,93451212,Julie Eges gate 5,4306,Sandnes
318697,Arve,Olsen,arve_o@outlook.no,46789999,Grindheim 1,5440,Mosterhamn
319236,Lars,Strand,lars.strand.x@outlook.no,42341234,Majorstuveien 25,367,Oslo
320965,Lene,Solberg,lene.s@outlook.com,97653322,Klosteret 5,5005,Bergen
329531,Merete,Rasmussen,merete.r@live.no,49014444,Ladebekken 5,7041,Trondheim
330710,Ingunn,Pettersen,ingunn.p@gmail.com,90122222,Sluppenvegen 1,7037,Trondheim
